N;CODIGO_PAIS;CODIGO_ENTIDAD;PROGRAMA;CODIGO_SNIP;CODIGO_UNIFICADO;NOMBRE;UNIDAD_EJECUTORA;DEPARTAMENTO;PROVINCIA;DISTRITO;POBLACION_BENEFICIADA_SSP;MONTO_ACTUALIZADO_PIP;MODALIDAD_FINANCIAMIENTO;TIPO_EJECUCION;ETAPA_INVERSION;ESTADO
N189;PE;11476;PNSU;104668;2090771;CONSTRUCCION SISTEMA DE AGUA POTABLE Y ALCANTARILLADO DE LOS ASENTAMIENTO HUMANOS ALEDAÑOS DE LA CIUDAD DE TINGO MARIA - DISTRITO RUPA RUPA., PROVINCIA DE LEONCIO PRADO - HUANUCO;GOBIERNO REGIONAL DE HUANUCO;HUANUCO;LEONCIO PRADO;RUPA-RUPA;8602;8219477.64;Transferencia;Indirecta;OBRA;Paralizada
N190;PE;11476;PNSU;318493;2268097;MEJORAMIENTO DE LOS SISTEMAS DE AGUA POTABLE Y ALCANTARILLADO EN LOS SECTORES A, B Y C DEL  AA.HH. JUAN CARLOS DEL ÁGUILACARDENAS, SECTOR NOR OESTE DEL  DISTRITO DE IQUITOS, PROVINCIA DE MAYNAS - LORETO;MUNICIPALIDAD PROVINCIAL DE MAYNAS;LORETO;MAYNAS;IQUITOS;1758;1617748.73;Transferencia;Indirecta;OBRA;Concluido
N191;PE;11476;PNSU;28492;2030558;MEJORAMIENTO INTEGRAL SISTEMA DE AGUA POTABLE Y CONSTRUCCION ALCANTARILLADO CASERIO NARIHUALA;MUNICIPALIDAD PROVINCIAL DE PIURA;PIURA;PIURA;CATACAOS;1426;1526122;Transferencia;Indirecta;OBRA;Concluido
N192;PE;11476;PNSU;133021;2153932;RENOVACION DE LAS REDES DE AGUA POTABLE Y ALCANTARILLADO DE LA J.V. MIGUEL GRAU DE LA CIUDAD DE TACNA;ENTIDAD PRESTADORA DE SERVICIOS DE SANEAMIENTO TACNA S.A.;TACNA;TACNA;TACNA;2142;2059469.66;Transferencia;Directa;OBRA;Concluido
N193;PE;11476;PNSU;53349;2054306;MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE AGUA POTABLE E INSTALACION DE REDES DE DESAGUE Y PLANTA DE TRATAMIENTO PUEBLO DE SAN JUAN DEL ORO, DISTRITO DE SAN JUAN DEL ORO - SANDIA - PUNO;MUNICIPALIDAD DISTRITAL DE SAN JUAN DEL ORO;PUNO;SANDIA;SAN JUAN DEL ORO;1755;1960838;Transferencia;Directa;OBRA;Convenio y/o Contrato Resuelto
N194;PE;11476;PNSU;25133;2027995;RENOVACION DE LA RED DE AGUA POTABLE, ALCANTARILLADO Y CONEXIONES DOMICILIARIAS DEL PJ MURO-CHICLAYO;ENTIDAD PRESTADORA DE SERVICIOS DE SANEAMIENTO DE LAMBAYEQUE S.A.;LAMBAYEQUE;CHICLAYO;CHICLAYO;1496;1327607;Transferencia;Directa;OBRA;Concluido
N195;PE;11476;PNSU;55873;2065405;AMPLIACION Y MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE, CONSTRUCCION DEL SISTEMA DE ALCANTARILLADO Y TRATAMIENTO DE AGUAS SERVIDAS CORCULLA, DISTRITO DE CORCULLA - PAUCAR DEL SARA SARA - AYACUCHO;MUNICIPALIDAD DISTRITAL DE CORCULLA;AYACUCHO;PAUCAR DEL SARA SARA;CORCULLA;350;624462;Transferencia;Directa;OBRA;Concluido
N196;PE;11476;PNSU;63717;2066901;MEJORAMIENTO, AMPLIACION SISTEMA DE AGUA Y ALCANTARILLADO SANITARIO POZUZO, PROVINCIA DE OXAPAMPA - PASCO;MUNICIPALIDAD DISTRITAL DE DE POZUZO;PASCO;OXAPAMPA;POZUZO;1754;4897108;Transferencia;Directa;OBRA;Concluido
N197;PE;11476;PNSU;147732;2128580;MEJORAMIENTO Y AMPLIACIÓN DE LOS SISTEMAS DE AGUA Y ALCANTARILLADO DEL C.P HUARIPAMPA , DISTRITO DE SANTA CRUZ, PROVINCIA DE HUAYLAS - ANCASH;MUNICIPALIDAD DISTRITAL DE SANTA CRUZ;ANCASH;HUAYLAS;SANTA CRUZ;1476;5085907;Transferencia;Indirecta;OBRA;Concluido
N198;PE;11476;PNSU;40783;2040738;MANEJO AMBIENTAL DE LAS PRINCIPALES DESCARGAS DE AGUAS RESIDUALES VERTIDAS A LA LAGUNA DE YARINACOCHA;GOBIERNO REGIONAL UCAYALI;UCAYALI;CORONEL PORTILLO;YARINACOCHA;3827;404132;Transferencia;Indirecta;EXPEDIENTE TECNICO;Convenio y/o Contrato Resuelto
N199;PE;11476;PNSU;49054;2043943;CONSTRUCCION DEL SISTEMA DE ALCANTARILLADO CENTRO POBLADO SANTA ROSA DEL MIRADOR, DISTRITO DE PARDO MIGUEL - RIOJA - SAN MARTIN;MUNICIPALIDAD DISTRITAL DE PARDO MIGUEL;SAN MARTIN;RIOJA;PARDO MIGUEL;2200;1980424;Transferencia;Indirecta;EXPEDIENTE TECNICO;Concluido
N200;PE;11476;PNSU;295660;2244928;AMPLIACION Y MEJORAMIENTO DE LOS SERVICIOS DE SANEAMIENTO BASICO INTEGRAL EN LA LOCALIDAD DE COYLLURQUI, DISTRITO DE COYLLURQUI - COTABAMBAS - APURIMAC;MUNICIPALIDAD DISTRITAL DE COYLLURQUI;APURIMAC;COTABAMBAS;COYLLURQUI;3091;9899681.09;Transferencia;Indirecta;OBRA;Concluido
N201;PE;11476;PNSU;47768;2064727;MEJORAMIENTO, AMPLIACION DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO CENTRO POBLADO DE SAN JACINTO, DISTRITO DE NEPENA - SANTA - ANCASH;MUNICIPALIDAD DISTRITAL DE NEPEÑA;ANCASH;SANTA;NEPEÑA;9095;16262962;Transferencia;Indirecta;OBRA;Concluido
N202;PE;11476;PNSU;130831;2128514;MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO DE LA LOCALIDAD DE HUABAL, DISTRITO DE HUABAL - JAEN - CAJAMARCA;MUNICIPALIDAD DISTRITAL DE HUABAL;CAJAMARCA;JAEN;HUABAL;955;3903029.32;Transferencia;Indirecta;OBRA;Concluido
N203;PE;11476;PNSU;177378;2140672;MEJORAMIENTO, AMPLIACIÓN RED DE DISTRIBUCIÓN DEL SERVICIO DE AGUA POTABLE, CONSTRUCCIÓN DEL ALCANTARILLADO Y PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES DE CIRCA Y LETRINIZACIÓN DE BARRIOS NO URBANOS CIRCA, PROVINCIA DE ABANCAY - APURÍMAC;MUNICIPALIDAD DISTRITAL DE CIRCA;APURIMAC;ABANCAY;CIRCA;1055;2390396;Transferencia;Indirecta;OBRA;Concluido
N204;PE;11476;PNSU;66206;2079199;MEJORAMIENTO Y AMPLIACION DE LOS SISTEMAS DE AGUA POTABLE, DESAGUE Y PLANTA DE TRATAMIENTO EN EL CENTRO POBLADO DE HUYRO , DISTRITO DE HUAYOPATA - LA CONVENCION - CUSCO;MUNICIPALIDAD DISTRITAL DE HUAYOPATA;CUSCO;LA CONVENCION;HUAYOPATA;1699;8086425;Transferencia;Indirecta;OBRA;Paralizada
N205;PE;11476;PNSU;336907;2300479;CREACION DEL SERVICIO DE AGUA POTABLE Y ALCANTARILLADO EN LA LOCALIDAD DE PUERTO INCA, DISTRITO DE PUERTO INCA, PROVINCIA DE PUERTO INCA - HUANUCO;MUNICIPALIDAD PROVINCIAL DE PUERTO INCA;HUANUCO;PUERTO INCA;PUERTO INCA;11043;31074165.75;Transferencia;Indirecta;OBRA;Paralizada
N206;PE;11476;PNSU;2993;2090141;PROYECTO INTEGRADO DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO DE LA LOCALIDAD DE BAGUA;GOBIERNO REGIONAL AMAZONAS;AMAZONAS;BAGUA;BAGUA;22556;182643656.5;Transferencia;Indirecta;OBRA (SALDO);Paralizada
N207;PE;11476;PNSU;196823;2215752;MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE AGUA POTABLE E INSTALACION DEL SISTEMA DE ALCANTARILLADO DE LA LOCALIDAD DEL PONGO DE  CAYNARACHI, DISTRITO DE CAYNARACHI - LAMAS - SAN MARTIN;MUNICIPALIDAD DISTRITAL DE CAYNARACHI;SAN MARTIN;LAMAS;CAYNARACHI;2120;10494555.17;Transferencia;Indirecta;OBRA;En Ejecución
N208;PE;11476;PNSU;156334;2128519;MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO DEL DISTRITO DE JULCAN II ETAPA, PROVINCIA DE JULCAN - LA LIBERTAD;MUNICIPALIDAD PROVINCIAL DE JULCAN;LA LIBERTAD;JULCAN;JULCAN;4925;4449606.99;Transferencia;Indirecta;OBRA;Concluido
N209;PE;11476;PNSU;192095;2209552;INSTALACION DEL SISTEMA DE REDES DE AGUA POTABLE Y ALCANTARILLADO EN LA ZONA ALTA, DISTRITO DE LA TINGUINA - ICA - ICA;MUNICIPALIDAD DISTRITAL DE LA TINGUIÑA;ICA;ICA;LA TINGUIÑA;4567;8150285.38;Transferencia;Indirecta;OBRA;Concluido
N210;PE;11476;PNSU;138815;2167709;MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE PRODUCCION DE AGUA CACHIYACU Y CONSTRUCCION DE RESERVORIO DE 3250 M3 EN LA SEDE CENTRAL DE EMAPA SAN MARTIN S.A. - TARAPOTO;MUNICIPALIDAD PROVINCIAL DE SAN MARTIN - TARAPOTO;SAN MARTIN;SAN MARTIN;TARAPOTO;80917;34851206.32;Transferencia;Indirecta;OBRA;En Ejecución
N211;PE;11476;PNSU;57402;2065562;CONSTRUCCION DEL SISTEMA DE DESAGÜE DEL C.P. TAZO GRANDE, DISTRITO DE CHAVIN DE PARIARCA - HUAMALIES - HUANUCO;MUNICIPALIDAD DISTRITAL DE MONZON;HUANUCO;HUAMALIES;MONZON;800;1138509;Transferencia;Indirecta;EXPEDIENTE TECNICO;Concluido
N212;PE;11476;PNSU;8236;2018885;MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE Y CONSTRUCCION DEL SISTEMA DE ALCANTARILLADO CURIMANA;GOBIERNO REGIONAL UCAYALI;UCAYALI;PADRE ABAD;CURIMANA;759;1915339;Transferencia;Indirecta;OBRA;Concluido
N213;PE;11476;PNSU;85266;2074526;INSTALACION DE ALCANTARILLADO Y AMPLIACION DE AGUA POTABLE DE HUANCAN ,, DISTRITO DE CHUQUIS - DOS DE MAYO - HUANUCO;MUNICIPALIDAD DISTRITAL DE CHUQUIS;HUANUCO;DOS DE MAYO;CHUQUIS;1084;2432292.37;Transferencia;Indirecta;EXPEDIENTE TECNICO;Concluido
N214;PE;11476;PNSU;79781;2072412;AMPLIACIÓN Y MEJORAMIENTO DEL SERVICIO DE AGUA POTABLE, ALCANTARILLADO Y TRATAMIENTO DE LAS AGUAS SERVIDAS, EN LA LOCALIDAD DE HUANCARAMA, DEL DISTRITO DE HUANCARAMA, PROVINCIA DE ANDAHUAYLAS - APURÍMAC.;MUNICIPALIDAD DISTRITAL DE HUANCARAMA;APURIMAC;ANDAHUAYLAS;HUANCARAMA;4070;5974319;Transferencia;Indirecta;OBRA;Concluido
N215;PE;11476;PNSU;329308;2300153;MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO DEL CONJUNTO HABITACIONAL MARBELLA, DISTRITO DE MAGDALENA DEL MAR, PROVINCIA DE LIMA, REGION LIMA;SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LIMA S.A. - SEDAPAL S.A.;LIMA;LIMA;MAGDALENA DEL MAR;992;500000;Transferencia;Indirecta;PREINVERSION;Concluido
N216;PE;11476;PNSU;363077;2326554;MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE AGUA POTABLE Y DISPOSICION FINAL DE EXCRETAS DE LA LOCALIDAD DE JUAN GUERRA, DISTRITO DE JUAN GUERRA - SAN MARTIN - SAN MARTIN;MUNICIPALIDAD DISTRITAL DE JUAN GUERRA;SAN MARTIN;SAN MARTIN;JUAN GUERRA;3224;13013765.74;Transferencia;Indirecta;OBRA;Concluido
N217;PE;11476;PNSU;28508;2030548;AMPLIACION DEL SISTEMA DE AGUA POTABLE Y CONSTRUCCION DEL SISTEMA DE ALCANTARILLADO DEL AA.HH. TUPAC AMARU EN LA CIUDAD DE TOCACHE;MUNICIPALIDAD PROVINCIAL DE TOCACHE;SAN MARTIN;TOCACHE;TOCACHE;2600;2166281;Transferencia;Indirecta;OBRA;Concluido
N218;PE;11476;PNSU;2380882;2380882;MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE Y ALCANTARILLADO SANITARIO EN LA CIUDAD DE HUEPETUHE, DISTRITO DE HUEPETUHE, PROVINCIA DEL MANU - MADRE DE DIOS;MUNICIPALIDAD DISTRITAL DE HUEPETUHE;MADRE DE DIOS;MANU;HUEPETUHE;11369;19992797.94;Transferencia;Indirecta;EXPEDIENTE TECNICO;En elaboración
N219;PE;11476;PNSU;247079;2173712;AMPLIACION Y MEJORAMIENTO INTEGRAL DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO DE LA LOCALIDAD DE ZEPITA, DISTRITO DE ZEPITA - CHUCUITO - PUNO;MUNICIPALIDAD DISTRITAL DE ZEPITA;PUNO;CHUCUITO;ZEPITA;3049;9047357;Transferencia;Indirecta;OBRA;Paralizada
N220;PE;11476;PNSU;376200;2337192;CREACION Y AMPLIACION DEL SERVICIO DE SANEAMIENTO BASICO DE AGUA POTABLE Y DESAGUE EN EL ANEXO DE COLPAR, RANGRA, ÑAHUINPUQUIO Y LOS BARRIOS DE LLACTA, UNOIMARCA Y ZONA PERIMETRICA DE QUILCAS CERCADO, DISTRITO DE QUILCAS - HUANCAYO - JUNIN;MUNICIPALIDAD DISTRITAL DE QUILCAS;JUNIN;HUANCAYO;QUILCAS;5445;18062812.19;Transferencia;Indirecta;OBRA;Concluido
N221;PE;11476;PNSU;61563;2066136;CONSTRUCCION DEL SISTEMA DE DESAGÜE DEL C.P. DE LA LIBERTAD-CAUNARAPA , DISTRITO DE CHAVIN DE PARIARCA - HUAMALIES - HUANUCO;MUNICIPALIDAD DISTRITAL DE MONZON;HUANUCO;HUAMALIES;MONZON;2900;797752;Transferencia;Indirecta;EXPEDIENTE TECNICO;Concluido
N222;PE;11476;PNSU;170878;2138912;CONSTRUCCIÓN DEL SISTEMA DE AGUA POTABLE PARTE BAJA DEL DISTRITO DE SAN BENITO , PROVINCIA DE CONTUMAZA - CAJAMARCA;MUNICIPALIDAD PROVINCIAL DE CONTUMAZA;CAJAMARCA;CONTUMAZA;SAN BENITO;2700;5348817.54;Transferencia;Indirecta;OBRA;Concluido
N223;PE;11476;PNSU;111862;2148935;MEJORAMIENTO Y AMPLIACION DE LOS SISTEMAS DE AGUA POTABLE Y SANEAMIENTO DE LA LOCALIDAD DE SAPILLICA , DISTRITO DE SAPILLICA - AYABACA - PIURA;MUNICIPALIDAD DISTRITAL DE SAPILLICA;PIURA;AYABACA;SAPILLICA;1592;4487879.9;Transferencia;Indirecta;OBRA;Concluido
N224;PE;11476;PNSU;168845;2138968;CONSTRUCCION DEL SISTEMA DE ALCANTARILLADO Y PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES EN EL CENTRO POBLADO NARANJITO DE CAMSE, DISTRITO DE CUTERVO, PROVINCIA DE CUTERVO - CAJAMARCA;MUNICIPALIDAD PROVINCIAL DE CUTERVO;CAJAMARCA;CUTERVO;CUTERVO;1026;985178.83;Transferencia;Indirecta;OBRA;Concluido
N225;PE;11476;PNSU;364097;2327685;MEJORAMIENTO DEL SISTEMA DE DRENAJE PLUVIAL Y VEREDAS EN LA AV. PROGRESO Y JR. ORLANDO USHIÑAHUA DE LAS LOCALIDADES DE NUEVO CODO Y SHIMBILLO, DISTRITO DE PUCACACA, PROVINCIA DE PICOTA - SAN MARTIN;MUNICIPALIDAD DISTRITAL DE PUCACACA;SAN MARTIN;PICOTA;PUCACACA;618;3651678.16;Transferencia;Indirecta;OBRA;Concluido
N226;PE;11476;PNSU;69704;2089864;MEJORAMIENTO Y AMPLIACIÓN DE LOS SERVICIOS DE AGUA POTABLE, ALCANTARILLADO Y TRATAMIENTO DE AGUAS SERVIDAS EN LA LOCALIDAD DE SORITOR, PROVINCIA DE MOYOBAMBA – SAN MARTÍN;MUNICIPALIDAD DISTRITAL DE SORITOR;SAN MARTIN;MOYOBAMBA;SORITOR;16847;15521811.81;Transferencia;Indirecta;OBRA;Concluido
N227;PE;11476;PNSU;303697;2284861;MEJORAMIENTO Y AMPLIACIÓN DEL SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DEL AA.HH 09 DE OCTUBRE DE LA LOCALIDAD DE MORROPON, PROVINCIA DE MORROPON - PIURA;MUNICIPALIDAD DISTRITAL DE MORROPON;PIURA;MORROPON;MORROPON;1024;3243555;Transferencia;Indirecta;OBRA;Concluido
N228;PE;11476;PNSU;36430;2037156;MEJORAMIENTO DEL CAMBIO DE COLECTOR DE LAS MANZANAS F,G,H, EN LA CALLE TAHUANTINSUYO- P.J. DOS DE JUNIO, PROVINCIA DE SANTA - ANCASH;MUNICIPALIDAD PROVINCIAL DE SANTA;ANCASH;SANTA;CHIMBOTE;180;68962;Transferencia;Indirecta;OBRA;Concluido
N229;PE;11476;PNSU;192798;2148927;MEJORAMIENTO DE LA RED DE AGUA POTABLE Y SISTEMA DE DESAGUE EN EL C.P. DE QUICHIRRAGRA DEL DISTRITO DE HUACAYBAMBA, PROVINCIA DE HUACAYBAMBA - HUANUCO;MUNICIPALIDAD PROVINCIAL DE HUACAYBAMBA;HUANUCO;HUACAYBAMBA;HUACAYBAMBA;480;1615888;Transferencia;Indirecta;EXPEDIENTE TECNICO;Concluido
N230;PE;11476;PNSU;53641;2050336;CONSTRUCCION DEL SISTEMA DE ALCANTARILLADO DE LAS LOCALIDADES DE CERRO BLANCO Y NUEVA ESPERANZA, DISTRITO DE TUMBES, PROVINCIA DE TUMBES - TUMBES;MUNICIPALIDAD DISTRITAL DE SAN JUAN DE LA VIRGEN;TUMBES;TUMBES;SAN JUAN DE LA VIRGEN;1706;3631850.58;Transferencia;Indirecta;OBRA;Concluido
N231;PE;11476;PNSU;132919;2153930;RENOVACION Y AMPLIACION DE LAS REDES DE AGUA POTABLE Y ALCANTARILLADO DE LA J.V. FRANCISCO DE PAULA GONZALES VIGIL DE LA CIUDAD DE TACNA;ENTIDAD PRESTADORA DE SERVICIOS DE SANEAMIENTO TACNA S.A.;TACNA;TACNA;TACNA;5154;4068981.72;Transferencia;Directa;OBRA;Concluido
N232;PE;11476;PNSU;125898;2104758;MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO EN LA LOCALIDAD DE SAÑO, DISTRITO DE SANO - HUANCAYO - JUNIN;MUNICIPALIDAD DISTRITAL DE SAÑO;JUNIN;HUANCAYO;SAÑO;2680;5437744.76;Transferencia;Indirecta;OBRA;Concluido
N233;PE;11476;PNSU;285693;2242471;INSTALACION DE REDES DE AGUA POTABLE Y ALCANTARILLADO  EN EL SECTOR ÑAHUIMPUQUIO ALTA DEL, DISTRITO DE SAN JUAN BAUTISTA - HUAMANGA - AYACUCHO;MUNICIPALIDAD DISTRITAL DE SAN JUAN BAUTISTA;AYACUCHO;HUAMANGA;SAN JUAN BAUTISTA;1264;5010865.53;Transferencia;Indirecta;OBRA;Concluido
N234;PE;11476;PNSU;190842;2165095;MEJORAMIENTO DE LOS SISTEMAS DE AGUA POTABLE Y ALCANTARILLADO DE LA URBANIZACION 08 DE SEPTIEMBRE DE CASA GRANDE, DISTRITO DE CASA GRANDE - ASCOPE - LA LIBERTAD;MUNICIPALIDAD DISTRITAL DE CASA GRANDE;LA LIBERTAD;ASCOPE;CASA GRANDE;1171;60000;Transferencia;Indirecta;OBRA;Concluido
N235;PE;11476;PNSU;48625;2058731;MEJORAMIENTO DEL SISTEMA DE DESAGUE EN EL P.J. LA LIBERTAD, PROVINCIA SANTA - ANCASH;EMPRESA DE SERVICIOS DE AGUA POTABLE Y ALCANTARILLADO DE CHIMBOTE, CASMA Y HUARMEY;ANCASH;SANTA;CHIMBOTE;3005;1856165;Transferencia;Directa;OBRA;Concluido
N236;PE;11476;PNSU;103484;2091194;MEJORAMIENTO Y AMPLIACION DE LOS SERVICIOS DE AGUA POTABLE Y SANEAMIENTO EN LA LOCALIDAD DE YANAOCA DEL DISTRITO DE YANAOCA , PROVINCIA DE CANAS - CUSCO;MUNICIPALIDAD PROVINCIAL DE CANAS - YANAOCA;CUSCO;CANAS;YANAOCA;3365;5417743;Transferencia;Indirecta;OBRA;Concluido
N237;PE;11476;PNSU;358924;2321972;MEJORAMIENTO DEL ABASTECIMIENTO DE AGUA POTABLE EN LOS BARRIOS Y URBANIZACIONES DE LA ZONA NORTE DE LA CIUDAD DE PUNO, DISTRITO DE PUNO, PROVINCIA DE PUNO-PUNO;MUNICIPALIDAD PROVINCIAL DE PUNO;PUNO;PUNO;PUNO;25685;23981405.96;Transferencia;Indirecta;OBRA;En Ejecución
N238;PE;11476;PNSU;48517;2047399;AMPLIACION Y MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE, CONSTRUCCION DEL SISTEMA DE ALCANTARILLADO Y DISPOSICION SANITARIA DE EXCRETAS DEL CENTRO POBLADO MENOR DE HUALALAY, PROVINCIA DE PALLASCA - ANCASH;MUNICIPALIDAD DISTRITAL DE TAUCA;ANCASH;PALLASCA;TAUCA;663;1613780.61;Transferencia;Directa;OBRA;Concluido
N239;PE;11476;PNSU;30664;2030606;MEJORAMIENTO DEL SISTEMA DE ABASTECIMIENTO DE AGUA MEDIANTE POZOS DE LA SUBZONA RIBEREÑA - LAGO;MUNICIPALIDAD PROVINCIAL DE EL COLLAO;PUNO;EL COLLAO;ILAVE;5335;1195259;Transferencia;Directa;OBRA;Concluido
N240;PE;11476;PNSU;220318;2216284;MEJORAMIENTO, AMPLIACION DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO EN EL CENTRO URBANO DE MAGDALENA, LA FILA CHOROPAMPA, LA GRANADA Y PUEBLO NUEVO, DISTRITO DE MAGDALENA - CAJAMARCA - CAJAMARCA;MUNICIPALIDAD DISTRITAL DE MAGDALENA;CAJAMARCA;CAJAMARCA;MAGDALENA;4632;9267246.14;Transferencia;Indirecta;OBRA;Concluido
N241;PE;11476;PNSU;4507;2018502;INSTALACION DE LOS SISTEMAS DE AGUA POTABLE Y ALCANTARILLADO SECTOR EL PORVENIR-PACASMAYO III ETAPA;GOBIERNO REGIONAL LA LIBERTAD;LA LIBERTAD;PACASMAYO;PACASMAYO;6600;1999475;Transferencia;Indirecta;OBRA;Concluido
N242;PE;11476;PNSU;138773;2113066;INSTALACION INTEGRAL DE LOS SISTEMAS DE AGUA POTABLE Y ALCANTARILLADO DE LOS PUEBLOS JOVENES DE LA MANSION DE SOCABAYA - AREQUIPA;GOBIERNO REGIONAL  DE AREQUIPA;AREQUIPA;AREQUIPA;SOCABAYA;6384;2286531.75;Transferencia;Directa;OBRA;Concluido
N243;PE;11476;PNSU;336523;2303200;AMPLIACION, MEJORAMIENTO DE LOS SERVICIOS DE AGUA POTABLE Y ALCANTARILLADO DE LA URBANIZACION SOL DE ORO, DISTRITO DE SANTA ROSA - CHICLAYO - LAMBAYEQUE;MUNICIPALIDAD DISTRITAL DE SANTA ROSA;LAMBAYEQUE;CHICLAYO;SANTA ROSA;1330;2430105.36;Transferencia;Indirecta;OBRA;Concluido
N244;PE;11476;PNSU;98928;2091733;INSTALACION DE LOS SISTEMAS DE AGUA POTABLE Y DESAGUE EN EL CENTRO POBLADO PEDREGAL SUR, DISTRITO DE MAJES - CAYLLOMA - AREQUIPA;MUNICIPALIDAD DISTRITAL DE MAJES;AREQUIPA;CAYLLOMA;MAJES;7595;10116943.75;Transferencia;Indirecta;OBRA;Concluido
N245;PE;11476;PNSU;67694;2068034;MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE AGUA POTABLE E INSTALACION DEL SISTEMA DE ALCANTARILLADO DEL CENTRO POBLADO SANTA CRUZ, DISTRITO DE NUEVO PROGRESO - TOCACHE - SAN MARTIN;MUNICIPALIDAD DISTRITAL DE NUEVO PROGRESO;SAN MARTIN;TOCACHE;NUEVO PROGRESO;1482;2028440;Transferencia;Indirecta;EXPEDIENTE TECNICO;Concluido
N246;PE;11476;PNSU;86078;2074793;MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE AGUA POTABLE Y SANEAMIENTO CASERIOS SALAS COLAYA, LA RAMADA Y OTROS, DISTRITO DE SALAS - LAMBAYEQUE - LAMBAYEQUE;MUNICIPALIDAD DISTRITAL DE SALAS;LAMBAYEQUE;LAMBAYEQUE;SALAS;7500;18665366;Transferencia;Indirecta;OBRA;Concluido
N247;PE;11476;PNSU;48873;2063466;MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO DE LA LOCALIDAD DE TACTA, DISTRITO DE MARISCAL CASTILLA - CHACHAPOYAS - AMAZONAS;MUNICIPALIDAD DISTRITAL DE MARISCAL RAMON CASTILLA;AMAZONAS;CHACHAPOYAS;MARISCAL CASTILLA;618;1027972;Transferencia;Directa;OBRA;Concluido
N248;PE;11476;PNSU;13080;2130880;MEJORAMIENTO Y AMPLIACION DE LOS SISTEMAS DE AGUA POTABLE Y ALCANTARILLADO DE LAS LOCALIDADES DE SAN PEDRO, LA FLORIDA, SAN ANTONIO, LA LIBERTAD Y DOS DE MAYO, DEL DISTRITO DE HEROINAS TOLEDO - PROVINCIA CONCEPCION - REGION JUNIN.;GOBIERNO REGIONAL JUNIN;JUNIN;CONCEPCION;HEROINAS TOLEDO;1780;3369814;Transferencia;Indirecta;OBRA;Concluido
N249;PE;11476;PNSU;275110;2188095;REHABILITACION DE REDES Y CONEXIONES DOMICILIARIAS DE AGUA POTABLE Y ALCANTARILLADO SANITARIO EN LAS PRINCIPALES VIAS DE ACCESO A LOS SECTORES LOS JARDINES Y NUEVE DE ABRIL, DISTRITO DE TARAPOTO, PROVINCIA DE SAN MARTIN - SAN MARTIN;MUNICIPALIDAD PROVINCIAL DE SAN MARTIN;SAN MARTIN;SAN MARTIN;TARAPOTO;2855;3863260.71;Transferencia;Indirecta;OBRA;Concluido
N250;PE;11476;PNSU;236634;2225399;MEJORAMIENTO DEL SISTEMA DE ALCANTARILLADO DE LOS CENTROS POBLADOS: VIRGEN DEL ROSARIO, VIRGEN DE LAS MERCEDES, VILLA LOS ANGELES Y SANTO DOMINGO, DISTRITO DE SUPE - BARRANCA - LIMA;MUNICIPALIDAD DISTRITAL DE SUPE;LIMA;BARRANCA;SUPE;1029;2874476.32;Transferencia;Indirecta;OBRA;En Ejecución
N251;PE;11476;PNSU;45691;2403510;AMPLIACIÓN Y MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO DEL ESQUEMA SAN PEDRO DE CARABAYLLO;SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LIMA S.A. - SEDAPAL S.A.;LIMA;LIMA;CARABAYLLO;10420;41863925.65;Transferencia;Indirecta;OBRA;Concluido
N252;PE;11476;PNSU;176619;2142463;MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO DE LA LOCALIDAD DE PUERTO TAMBORAPA Y AMBATO TAMBORAPA, DISTRITO DE CHIRINOS - SAN IGNACIO - CAJAMARCA;MUNICIPALIDAD DISTRITAL DE CHIRINOS;CAJAMARCA;SAN IGNACIO;CHIRINOS;1960;4464543.06;Transferencia;Indirecta;OBRA;Concluido
