N;CODIGO_PAIS;CODIGO_ENTIDAD;PROGRAMA;CODIGO_SNIP;CODIGO_UNIFICADO;NOMBRE;UNIDAD_EJECUTORA;DEPARTAMENTO;PROVINCIA;DISTRITO;POBLACION_BENEFICIADA_SSP;MONTO_ACTUALIZADO_PIP;MODALIDAD_FINANCIAMIENTO;TIPO_EJECUCION;ETAPA_INVERSION;ESTADO
N1476;PE;11476;PNSU;61875;2057938;CONSTRUCCION, MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO E INSTALACION DE PLANTA DE TRATAMIENTO DE AGUAS SERVIDAS DEL CASERIO DE SHALAR, DISTRITO DE CHUGAY - SANCHEZ CARRION - LA LIBERTAD;MUNICIPALIDAD DISTRITAL DE CHUGAY;LA LIBERTAD;SANCHEZ CARRION;CHUGAY;570;1023165;Transferencia;Indirecta;OBRA;Concluido
N1477;PE;11476;PNSU;333380;2291955;MEJORAMIENTO Y AMPLIACION INTEGRAL DEL SERVICIO DE AGUA POTABLE, ALCANTARILLADO Y TRATAMIENTO DE AGUAS RESIDUALES EN EL PUEBLO DE MUÑANI, DISTRITO DE MUNANI - AZANGARO - PUNO;MUNICIPALIDAD DISTRITAL DE MUÑANI;PUNO;AZANGARO;MUÑANI;3658;20092001.89;Transferencia;Indirecta;OBRA;En Ejecución
N1478;PE;11476;PNSU;82692;2131951;MEJORAMIENTO Y AMPLIACIÓN DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO SANITARIO PARA LA LOCALIDAD DE PANAO, PROVINCIA DE PACHITEA, REGIÓN HUÁNUCO;MUNICIPALIDAD PROVINCIAL DE PACHITEA - PANAO;HUANUCO;PACHITEA;PANAO;5551;11743551.19;Transferencia;Indirecta;OBRA;Concluido
N1479;PE;11476;PNSU;68576;0;CONSTRUCCION DE REDES SECUNDARIAS DE AGUA POTABLE Y CONEXIONES DOMICILIARIAS DEL AA.HH. 17 DE ABRIL;EMPRESA MUNICIPAL DE SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE PISCO;ICA;PISCO;TUPAC AMARU INCA;1008;229064;Transferencia;Indirecta;OBRA;Concluido
N1480;PE;11476;PNSU;48704;2052228;INSTALACION DEL SISTEMA DE ALCANTARILLADO EN EL BARRIO SAN MARTIN, AA. HH. SANTA ANITA Y AA. HH. ANA DE JESUS-YURIMAGUAS, PROVINCIA DE ALTO AMAZONAS - LORETO;MUNICIPALIDAD PROVINCIAL DE ALTO AMAZONAS;LORETO;ALTO AMAZONAS;YURIMAGUAS;1463;1099639;Transferencia;Indirecta;OBRA;Concluido
N1481;PE;11476;PNSU;72697;2069783;MEJORAMIENTO, AMPLIACION DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO DE CHOROS, DISTRITO DE CHOROS - CUTERVO - CAJAMARCA;MUNICIPALIDAD DISTRITAL DE CHOROS;CAJAMARCA;CUTERVO;CHOROS;900;4298653;Transferencia;Indirecta;OBRA;Concluido
N1482;PE;11476;PNSU;170893;2133110;REHABILITACION DE LAS REDES DE AGUA POTABLE Y ALCANTARILLADO EN LAS ASOCIACIONES DE VIVIENDA SEÑOR DE LOS MILAGROS ASOCIACION RAMON COPAJA,Y COOPERATIVA DE VIVIENDA GREGORIO ALBARRACIN DEL SECTOR V,DISTRITO DE ALTO DE LA ALIANZA - TACNA - TACNA;MUNICIPALIDAD DISTRITAL DE ALTO DE LA ALIANZA;TACNA;TACNA;ALTO DE LA ALIANZA;3095;4494826.63;Transferencia;Indirecta;OBRA;Concluido
N1483;PE;11476;PNSU;198536;2159252;MEJORAMIENTO, AMPLIACION DEL SERVICIO DEL SISTEMA DE DESAGUE DE LA CIUDAD DE SIHUAS, PROVINCIA DE SIHUAS - ANCASH;MUNICIPALIDAD PROVINCIAL DE SIHUAS;ANCASH;SIHUAS;SIHUAS;4295;5816678.85;Transferencia;Indirecta;OBRA;Concluido
N1484;PE;11476;PNSU;94470;2077519;INSTALACION DEL SISTEMA DE ALCANTARILLADO, AMPLIACION Y MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE EN LA LOCALIDAD DE ULLPAYACU, DISTRITO DE PASTAZA - DATEM DEL MARANON - LORETO;MUNICIPALIDAD DISTRITAL DE PASTAZA;LORETO;DATEM DEL MARAÑON;PASTAZA;1265;2574624.36;Transferencia;Indirecta;OBRA;Concluido
N1485;PE;11476;PNSU;91721;2143556;AMPLIACIÓN Y MEJORAMIENTO DE LOS SISTEMAS DE AGUA POTABLE Y ALCANTARILLADO DE LA ZONA NOR ESTE DEL DISTRITO DE HUALMAY, PROVINCIA DE HUAURA, DEPARTAMENTO DE LIMA;MUNICIPALIDAD DISTRITAL DE HUALMAY;LIMA;HUAURA;HUALMAY;10699;5995735.62;Transferencia;Indirecta;OBRA;Concluido
N1486;PE;11476;PNSU;192583;2156740;MEJORAMIENTO Y AMPLIACIÓN DEL SISTEMA DE AGUA POTABLE, ALCANTARILLADO Y PLANTA DE TRATAMIENTO EN LA LOCALIDAD DE CABANA, DISTRITO DE CABANA-LUCANAS;MUNICIPALIDAD DISTRITAL DE CABANA;AYACUCHO;LUCANAS;CABANA;3042;4354078.08;Transferencia;Indirecta;OBRA;Concluido
N1487;PE;11476;PNSU;91182;2076560;MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE Y CONSTRUCCION DEL SISTEMA DE ALCANTARILLADO CON PLANTA DE TRATAMIENTO DE SUS AGUAS RESIDUALES DE LA LOCALIDAD DE SAN MIGUEL DE HUALLHUA, DISTRITO DE AHUAYCHA - TAYACAJA - HUANCAVELICA;MUNICIPALIDAD DISTRITAL DE AHUAYCHA;HUANCAVELICA;TAYACAJA;AHUAYCHA;2050;5188477.96;Transferencia;Indirecta;OBRA;Concluido
N1488;PE;11476;PNSU;44082;2051914;INSTALACION DE AGUA POTABLE Y DESAGUE EN LA ASOCIACION DE PEQUEÑOS INDUSTRIALES Y ARTESANOS AREQUIPA-APIAAR EN YURA, PROVINCIA DE AREQUIPA - AREQUIPA;MUNICIPALIDAD PROVINCIAL DE AREQUIPA;AREQUIPA;AREQUIPA;YURA;2502;3294327.16;Transferencia;Indirecta;OBRA;Concluido
N1489;PE;11476;PNSU;24322;2030174;INSTALACION DE REDES COLECTORAS DE ALCANTARILLADO EN LA URBANIZACION AMPLIACION SAN SANTIAGO DE LA CIUDAD DE JULIACA;ENTIDAD PRESTADORA DE SERVICIOS DE SANEAMIENTO DE JULIACA S.A.;PUNO;SAN ROMAN;JULIACA;1140;733505;Transferencia;Directa;OBRA;Concluido
N1490;PE;11476;PNSU;44787;2053821;MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE Y DESAGUE EN EL CENTRO POBLADO TAMBO REAL NUEVO, PROVINCIA DE SANTA - ANCASH;MUNICIPALIDAD PROVINCIAL DE SANTA;ANCASH;SANTA;CHIMBOTE;1560;3475141.2;Transferencia;Indirecta;OBRA;Concluido
N1491;PE;11476;PNSU;2446673;2446673;MEJORAMIENTO DEL SISTEMA DE DRENAJE PLUVIAL EN LOS SECTORES DEL AA.HH. LA MOLINA,AA.HH. SAN JUAN VELASCO ALVARADO,AA.HH.DANIEL ALCIDES CARRION Y AA.HH.LOS MADEROS DE LA CIUDAD DE YURIMAGUAS DEL DISTRITO DE YURIMAGUAS - PROVINCIA DE ALTO AMAZONAS - DEPARTAMENTO DE LORETO;MUNICIPALIDAD PROVINCIAL DEL ALTO AMAZONAS - YURIMAGUAS;LORETO;ALTO AMAZONAS;YURIMAGUAS;7232;7987022.03;Transferencia;Indirecta;OBRA;En Ejecución
N1492;PE;11476;PNSU;48431;2045775;CONSTRUCCION DEL SISTEMA DE AGUA POTABLE DE SECTOR NARANJILLO - MAPRESA, DISTRITO DE LUYANDO - LEONCIO PRADO - HUANUCO;MUNICIPALIDAD DISTRITAL DE LUYANDO;HUANUCO;LEONCIO PRADO;LUYANDO;2100;2764733.53;Transferencia;Indirecta;OBRA;Concluido
N1493;PE;11476;PNSU;334275;2292977;MEJORAMIENTO Y AMPLIACION DE LOS SERVICIOS DE AGUA POTABLE E INSTALACION DEL SISTEMA DE ALCANTARILLADO EN EL ASENTAMIENTO HUMANO UNION HUICHCCANA, DISTRITO DE JESUS NAZARENO - HUAMANGA - AYACUCHO;MUNICIPALIDAD DISTRITAL JESUS NAZARENO;AYACUCHO;HUAMANGA;JESUS NAZARENO;5250;10550202;Transferencia;Indirecta;OBRA;Concluido
